Timestamp,Fp1,Fp2,Cz,Pz,Oz,F7,F8,T7,T8,C3,C4,P3,P4,O1,O2
0:00:01,-0.453414108,-0.630930834,-1.777680962,-0.50365026,1.073412702,-0.305499463,0.432850403,-1.878980945,0.527438652,-0.210834719,-0.032655904,0.039309199,0.182134871,-0.781357696,-0.460523421
0:00:02,-1.795643173,-0.942060184,0.71474565,-0.172374957,0.498689912,-0.597381061,1.110753172,-0.327795056,-1.611002768,2.235427435,0.064294879,-0.912325514,1.359771893,0.691356381,-0.338186717
0:00:03,-0.330090192,-0.547995819,-0.233724058,0.714731728,-1.942497691,0.110418047,0.755184974,-0.041660023,-0.91989817,0.809310904,0.946861462,-0.462499153,-0.044708757,-0.590361692,-0.57602517
0:00:04,0.732829082,-0.214150311,0.707457711,1.277856655,-0.155422433,1.197178531,1.084477525,0.015908658,-0.148178533,2.480650918,-0.747217308,0.342853466,-0.886112651,0.749555037,1.917259535
0:00:05,-1.274232119,0.837154486,0.776931692,0.570487331,-1.155707575,-0.771042157,-0.211889531,0.180496056,-0.886665035,-0.496963133,-0.846346992,1.818464378,-1.619689866,-0.274111475,1.463900786
0:00:06,1.048482651,-0.321159039,1.607915061,0.101723208,-0.202605773,1.000820498,-0.466618968,0.61043982,-0.815591771,-0.084966597,1.236619742,-0.484019623,0.513047867,-1.721047126,0.55529419
0:00:07,0.487774821,-1.585625707,1.353453648,1.49801177,0.980004236,-0.781672072,-0.736901352,-0.035407439,-0.349862663,-1.332125765,-0.462644742,0.804787444,0.247288126,-0.98241624,1.325308997
0:00:08,-0.734233322,1.140067846,1.346571663,-0.312836473,0.305150836,-0.847627212,-0.055896467,-0.368058282,0.649581332,-0.809566802,-1.263035354,-0.328056451,-0.645908173,-0.430414709,0.798461339
0:00:09,-0.141529637,-0.837090134,1.443670319,1.030919338,1.148090866,0.818594618,-0.078590796,-0.407589345,-0.342717777,1.901913149,-0.485129942,0.110468756,1.026014126,1.368189024,0.18127116
0:00:10,1.598321808,-0.058720427,0.291378985,-0.288062798,0.341753921,0.921936378,0.206677629,-0.611515802,1.078426194,-0.52203429,-0.330052735,1.515396749,-0.421776864,0.901143631,-1.505571341
0:00:11,0.733547814,0.446536507,0.032185087,0.431022958,-1.29832594,0.851409937,-0.129297457,0.787543324,-0.997757783,1.9192813,1.554962728,0.764292581,-0.134644092,1.623861412,-0.26216392
0:00:12,0.008783655,0.199610418,0.872817083,-0.113562565,-2.520847007,-1.315797408,-0.13362773,-0.646528479,-1.25192226,-1.243362261,0.924826212,-1.241299273,-0.016664133,1.653635216,-0.335037892
0:00:13,-0.237683317,1.094179548,0.732080951,-0.055852183,0.148808762,-0.465950978,-0.776694053,0.846771109,1.926345406,-1.053469034,1.147520617,-0.572475024,-0.350952742,-0.534750805,-1.133075173
0:00:14,0.07660907,0.479003143,-0.309066237,-0.377386517,-0.213926466,0.822988592,0.941619014,0.018999082,-0.657958128,-0.341231221,0.819973642,1.256221344,0.235865066,-0.18848686,-1.486162275
0:00:15,-0.511763558,-0.86130958,0.404823409,1.344854031,-0.976945739,0.041541841,0.076518062,-0.521254807,-1.310912007,-0.063749922,0.946243672,0.141878043,1.151515146,-0.411279924,0.492719347
0:00:16,-2.104749506,2.178562174,-0.035096467,-0.732926038,-1.70062725,-1.073692846,-0.174443934,0.618407216,-1.742053942,0.923087292,-0.688082127,-1.14884012,-1.142481898,-0.671510605,0.324504322
0:00:17,2.042177911,0.194333463,-0.853932908,-0.740232253,-0.734743213,0.458317939,-0.747429253,-0.727453925,1.075103454,0.450770417,-0.198602155,-0.818952445,0.488520138,-1.841494709,-1.16739698
